name,code,state,lat,lon
Badhal,BDHL,Rajasthan,27.2520587,75.4516454
KICHHA,KHH,Uttar Pradesh,28.913427,79.519746
Sherekan,SRKN,Rajasthan,29.55519806,74.43499088
Bhukarka,BKKA,Rajasthan,29.23822731,74.75103096
Nohar,NHR,Rajasthan,29.19256274,74.77362782
Perungudi,PRGD,Tamil Nadu,12.975217,80.231363
Khinaniyan,KNNA,Haryana,29.34563726,74.71795706
JAULKHERA,JKR, ,21.838466,78.216684
BARSALI,BYS, ,21.909813,78.031361
GIRWAR,GW, ,23.838186,78.936311
DANGIDHAR,DGD, ,23.871771,79.019912
DHODHAR,DOD,Madhya Pradesh,23.770741,75.103546
GANESHGANJ,GAJ, ,23.895862,79.074633
Jayanagar Majilpur Halt,JNM,West Bengal,22.168635,88.415324
NASIRABAD,NSD,Rajasthan,26.29446,74.716991
PATHARIA,PHA, ,23.905726,79.192899
NIZAMABAD,NZB,Andhra Pradesh,18.679165,78.103238
RAJENDRA PUL,RJO, ,25.387447,86.010546
ADUTURAI,ADT,Tamil Nadu,11.009165,79.478668
KUMBAKONAM,KMU,Tamil Nadu,10.952962,79.388644
MANAMADURAI JN,MNM,Tamil Nadu,9.681539,78.45351
GORAKHPUR JN,GKP, ,26.759311,83.381499
VARNAMA,VRM, ,22.184274,73.169283
GORAKHPUR CANT,GKC, ,26.750649,83.416821
ITOLA,ITA, ,22.149889,73.156746
BARAUT,BTU,Uttar Pradesh,29.09692,77.273006
Moga,MOGA,Punjab,30.817296,75.168467
SAMAKHIALI JN,SIOB, ,23.309819,70.503394
Rasheedpura Khori,RDK,Rajasthan,27.713786,75.087121
PEDDAVADIAPUDI,PVD, ,16.414205,80.612645
ELLAMANCHILI,YLM, ,17.553652,82.85262
Chatrappatti,CHPT, ,10.476971,77.655113
JARWAL ROAD,JLD, ,27.120389,81.540406
BRAJRAJNAGAR,BRJN, ,21.822718,83.923653
COLONELGANJ,CLJ, ,27.137698,81.694178
KATHOLA,KTHL, ,27.14655558,81.85566265
MUNDERWA,MND, ,26.776435,82.903373
SAINAGAR SHIRDI,SNSI,Maharashtra,19.7807923,74.4806877
DHOLA JN,DLJ,Gujarat,21.822549,71.738273
PHAGWARA JN,PGW, ,31.21755575,75.76550198
Jhunpa,JUP,Rajasthan,28.777449,75.521553
JHARSUGUDA JN,JSG, ,21.862274,84.017427
KARCHHUE,KYW, ,26.23112444,84.20715351
MAHENDRANATH,MHRN, ,26.000739,84.509909
TAPPA KHAJURIAY,TKVR, ,25.807401,84.688889
DODDAMPATTI,DPI, ,12.18134581,78.42225009
ASHAPURA GOMAT,AQG,Rajasthan,26.950232,71.892665
NEYKKARAPATTI,NEA, ,11.612765,78.096697
GORAUL,GRL, ,25.931049,85.318477
KURHANI,KHI, ,25.979631,85.339288
TIRUPPUR VANJIPALAYAM,VNJ, ,11.117791,77.265802
COIMBATORE NORTH,CBF, ,11.019937,76.954304
AMBALA CANT JN,UMB, ,30.338918,76.826966
SIRATHU,SRO, ,25.650642,81.31786
SHUJAATPUR,SJT, ,25.605607,81.401934
BIDANPUR,BDNP, ,25.585017,81.442017
MOTIPURA CHAUKI,MTPC,Rajasthan,24.60933823,77.04829952
HATHIDAH JN,HTZ, ,25.367027,85.987826
DUDHNOI,DDNI,Assam,26.001459,90.76188
RUNDHI,RDE, ,28.067751,77.350991
ITAUNJA,IJ,Uttar Pradesh,27.081067,80.891234
Ramsar,RMX,Rajasthan,25.722252,70.866078
PILIBHIT JN,PBE,Uttar Pradesh,28.614978,79.813946
Rampura Beri,RMB,Rajasthan,28.53013206,75.64547983
MUGHAL SARAI JN,MGS, ,25.278149,83.11925
Ramgarh Shekhawati,RSWT,Rajasthan,28.169397,74.993046
BAKAINA HALT,BKNA, ,29.0358,78.274731
HOSHANGABAD,HBD, ,22.75274,77.715594
ASLANA,ANA, ,23.860522,79.319493
BUDNI,BNI, ,22.7871143,77.6812826
DHAMALGAON,DMGN,Assam,27.325566,94.856569
LAKDIKAPUL,LKPL,Andhra Pradesh,17.404048,78.463527
BARUD,BRUD,Madhya Pradesh,22.052142,76.814085
DEVLALI,DVL, ,19.897509,73.83729
Jurtara,JRTR, ,22.253005,79.761272
REWA,REWA,Madhya Pradesh,24.537122,81.250615
DHOLKA,DOK,Gujarat,22.731982,72.433842
NANDESARI,NDR, ,22.41833164,73.09527343
MIYAGAM KARJAN,MYG, ,22.050722,73.120353
MAHOBA,MBA,Uttar Pradesh,25.306914,79.849079
Jamgaon,JGZ,Madhya Pradesh,22.418426,80.198945
BAGHOI KUSA,BHKH, ,24.83990065,84.46243313
NOLI,NOLI,Uttar Pradesh,28.746571,77.310771
SUJRA,SUJR,Uttar Pradesh,29.012729,77.261341
Amod,AMOD,Gujarat,21.99079117,72.86546468
LAKODARA,LKD, ,21.991872,73.098994
Vankal,VKL,Gujarat,21.43967393,73.23136644
BYCULLA,BY,Maharashtra,18.97695,72.833211
BHAGWANPUR,BNR, ,25.85831672,85.30109021
Kotturu,KTY,Tamil Nadu,14.82678833,76.21354088
Bhalukmara,BLMR,Assam,26.685532,94.143709
Anjangaon,ANJ,Maharashtra,21.16319975,77.31896505
Debagram,DEB,West Bengal,23.685277,88.306807
Achalpur,ELP,Maharashtra,21.27760302,77.51926278
Bethuadahari,BTY,West Bengal,23.610275,88.384597
Warud,WARUD,Maharashtra,20.74690548,78.65141943
Velankanni,VLKN,Tamil Nadu,10.68687717,79.84618069
PUTLACHERUVU,PCU,Andhra Pradesh,16.484823,81.112395
BENNIPATTI PIRAPUR,BNPT, ,25.89294937,85.30904789
JALAMB JN,JM, ,20.813007,76.573236
Gorapur,GPJ,Andhra Pradesh,18.346936,82.79406
Pattaravakkam,ABEO, ,13.11449998,80.16618147
